Date,Price,Open,High,Low,Vol.,Change %
26/11/2024,87.29,86.36,87.39,85.56,650.07K,2.57%
25/11/2024,85.1,86.67,87.51,85,4.29M,-4.59%
22/11/2024,89.19,88.91,89.54,88.5,754.13K,0.60%
21/11/2024,88.66,88.61,88.69,87.75,647.20K,0.68%
20/11/2024,88.06,87.65,88.35,87.17,852.57K,0.76%
19/11/2024,87.4,86.11,87.45,85.45,915.78K,2.44%
18/11/2024,85.32,85.05,85.6,84.44,820.11K,3.22%
15/11/2024,82.66,83.5,84.28,82.32,570.09K,-0.91%
14/11/2024,83.42,81.83,84.28,81.66,559.39K,0.90%
13/11/2024,82.68,83.88,84.18,82.67,620.90K,-0.66%
12/11/2024,83.23,84.11,84.79,82.99,1.06M,-2.00%
11/11/2024,84.93,87.25,88.53,83.98,590.32K,-5.87%
08/11/2024,90.23,89.25,91.9,88.19,626.81K,1.06%
07/11/2024,89.28,88.28,89.47,87.48,792.43K,1.84%
06/11/2024,87.67,86.26,88.2,86.11,936.29K,-3.42%
05/11/2024,90.77,90.36,90.97,89.88,458.42K,0.65%
04/11/2024,90.18,90.83,91.01,89.58,933.91K,-0.82%
01/11/2024,90.93,92.54,92.57,90.88,461.97K,-1.11%
31/10/2024,91.95,92.83,92.83,90.38,1.45M,-2.07%
30/10/2024,93.89,94.21,94.38,92.07,1.02M,-0.57%
29/10/2024,94.43,93,94.45,92.65,614.39K,2.31%
28/10/2024,92.3,91.4,92.57,91.15,1.77M,0.42%
25/10/2024,91.91,92.16,92.97,91.53,707.58K,-1.17%
24/10/2024,93,93.68,93.96,90.8,942.61K,-0.35%
23/10/2024,93.33,93.42,94.1,92.51,568.71K,-1.46%
22/10/2024,94.71,93.49,94.84,93.05,507.41K,2.28%
21/10/2024,92.6,93.06,94.4,92.41,512.44K,0.86%
18/10/2024,91.81,88.64,92.11,88.27,640.69K,4.61%
17/10/2024,87.76,86.99,88.14,86.59,598.16K,1.69%
16/10/2024,86.3,85.82,86.64,84.93,695.75K,1.31%
15/10/2024,85.18,83.7,85.19,83.6,625.40K,1.93%
11/10/2024,83.57,84.31,85.23,83.26,498.55K,-0.25%
10/10/2024,83.78,82.92,83.84,81.99,645.91K,2.63%
09/10/2024,81.63,81.17,81.87,80.42,497.00K,0.20%
08/10/2024,81.47,80.71,81.52,80.29,512.51K,0.30%
07/10/2024,81.23,81.66,81.66,80.44,553.66K,-0.81%
04/10/2024,81.89,82.07,82.87,81.5,608.79K,-0.43%
03/10/2024,82.24,82.55,82.63,81.02,480.44K,-1.15%
02/10/2024,83.2,82.84,83.5,81.83,584.51K,0.79%
01/10/2024,82.55,83.15,83.51,81.62,707.28K,-0.06%
30/09/2024,82.6,83.95,83.95,81.74,1.19M,-2.19%
27/09/2024,84.45,86.3,86.48,84.28,484.44K,-2.40%
26/09/2024,86.53,86.87,87.37,85.68,841.80K,-0.02%
25/09/2024,86.55,84.99,86.88,84.62,1.02M,1.44%
24/09/2024,85.32,84.41,85.92,84.1,819.81K,1.46%
23/09/2024,84.09,84.85,85.62,84.07,448.04K,-0.90%
20/09/2024,84.85,85.23,85.74,84.46,2.41M,0.58%
19/09/2024,84.36,85.58,85.76,83.55,572.57K,1.01%
18/09/2024,83.52,84.15,87.05,83.38,746.02K,-0.48%
17/09/2024,83.92,84.08,84.97,83.56,469.85K,-0.80%
16/09/2024,84.6,84.91,85.34,83.5,740.39K,-0.48%
13/09/2024,85.01,84.4,85.66,84.06,632.41K,1.94%
12/09/2024,83.39,81.86,83.85,81.86,782.61K,3.69%
11/09/2024,80.42,80.3,80.79,79.26,624.14K,-0.47%
10/09/2024,80.8,79.43,80.84,78.87,734.83K,1.76%
09/09/2024,79.4,78.92,79.73,78.91,380.19K,0.97%
06/09/2024,78.64,80.73,80.73,78.22,617.28K,-2.76%
05/09/2024,80.87,81.94,82.09,80.76,494.70K,0.30%
04/09/2024,80.63,80.47,81.47,79.88,469.81K,-0.35%
03/09/2024,80.91,82.81,83.02,79.94,732.92K,-2.86%
30/08/2024,83.29,83.05,83.45,82.7,1.10M,0.17%
29/08/2024,83.15,82.84,83.75,82.71,546.75K,0.52%
28/08/2024,82.72,83.08,83.24,82.3,550.66K,-1.41%
27/08/2024,83.9,83.06,84.06,82.77,837.11K,-0.18%
26/08/2024,84.05,84.13,84.3,83.24,628.07K,0.17%
23/08/2024,83.91,83.62,84.71,83.16,485.60K,1.06%
22/08/2024,83.03,83.14,83.8,82.77,1.11M,-1.34%
21/08/2024,84.16,83.71,84.25,83.05,482.00K,0.19%
20/08/2024,84,83.3,84.81,83.3,496.17K,1.79%
19/08/2024,82.52,80.61,82.8,80.27,900.14K,2.10%
16/08/2024,80.82,80.09,80.99,79.59,444.13K,1.85%
15/08/2024,79.35,79.4,79.58,77.28,698.11K,0.38%
14/08/2024,79.05,79.54,79.69,78.21,491.40K,-0.95%
13/08/2024,79.81,78.5,80,78.3,506.83K,1.53%
12/08/2024,78.61,77.14,79.17,77.08,983.13K,2.56%
09/08/2024,76.65,75.4,76.83,74.36,544.28K,2.68%
08/08/2024,74.65,73.97,75.75,73.91,555.81K,1.66%
07/08/2024,73.43,76.57,76.61,72.93,1.12M,-3.01%
06/08/2024,75.71,76.74,77.15,74.83,1.16M,-5.33%
02/08/2024,79.97,81.47,83.37,79.44,742.85K,-1.41%
01/08/2024,81.11,82.46,82.75,80.26,1.01M,-1.74%
31/07/2024,82.55,82.37,82.79,81.29,1.67M,1.21%
30/07/2024,81.56,81.49,82.33,80.87,828.17K,0.41%
29/07/2024,81.23,81.02,81.61,80.32,475.15K,0.71%
26/07/2024,80.66,81.91,82.02,80.56,456.05K,-0.70%
25/07/2024,81.23,80.82,81.99,80.11,393.00K,-1.88%
24/07/2024,82.79,83.64,84.66,82.77,452.98K,-0.42%
23/07/2024,83.14,82.84,83.41,82.21,377.09K,0.78%
22/07/2024,82.5,82.21,82.86,81.73,318.71K,0.06%
19/07/2024,82.45,81.38,83.41,81.38,356.61K,-1.34%
18/07/2024,83.57,84.26,84.52,82.69,1.02M,-0.50%
17/07/2024,83.99,84.81,86.22,83.85,595.23K,-1.14%
16/07/2024,84.96,81.89,85,81.5,588.53K,4.44%
15/07/2024,81.35,81.48,82.02,80.35,596.89K,0.17%
12/07/2024,81.21,80.3,81.43,80.01,669.99K,0.49%
11/07/2024,80.81,81.03,81.12,78.99,422.39K,1.72%
10/07/2024,79.44,77.14,79.52,77.03,778.68K,3.91%
09/07/2024,76.45,76.47,76.95,75.9,644.08K,-0.17%
08/07/2024,76.58,75.69,76.62,75.25,414.06K,0.70%
05/07/2024,76.05,75.7,76.8,75.25,746.13K,1.89%
04/07/2024,74.64,74.15,74.77,74.15,64.98K,0.38%
03/07/2024,74.36,72.66,74.87,72.66,471.41K,3.38%
02/07/2024,71.93,72.15,72.96,71.3,847.22K,0.28%
28/06/2024,71.73,72.9,73.01,71.18,605.68K,-1.17%
27/06/2024,72.58,73.14,73.18,72.12,418.65K,0.23%
26/06/2024,72.41,72.24,73.1,71.9,547.89K,-0.45%
25/06/2024,72.74,72.71,73.05,72.11,375.08K,-0.14%
24/06/2024,72.84,72.86,73.42,72.44,472.65K,0.36%
21/06/2024,72.58,73.76,73.83,71.72,5.10M,-1.59%
20/06/2024,73.75,72.73,74.72,72.65,690.24K,1.81%
19/06/2024,72.44,72.15,72.5,71.82,426.51K,0.19%
18/06/2024,72.3,71.79,72.88,71.79,780.29K,-0.04%
17/06/2024,72.33,72.53,72.69,71.79,498.50K,-0.51%
14/06/2024,72.7,73.38,73.42,72.02,513.89K,0.10%
13/06/2024,72.63,73.07,73.69,72.19,414.60K,-1.14%
12/06/2024,73.47,74.11,74.72,73,763.22K,0.19%
11/06/2024,73.33,73.57,73.57,72.44,818.63K,-0.96%
10/06/2024,74.04,72.8,74.22,72.8,1.27M,2.34%
07/06/2024,72.35,73.87,74.29,72.03,925.92K,-4.80%
06/06/2024,76,73.46,76.06,73.43,674.99K,3.44%
05/06/2024,73.47,72.36,73.82,72.15,712.06K,1.76%
04/06/2024,72.2,74.08,74.32,71.52,953.29K,-3.90%
03/06/2024,75.13,75.16,75.93,74.57,1.01M,0.64%
31/05/2024,74.65,77.07,77.71,74.61,4.57M,-2.88%
